Flooring,ViewYN,PoolPrivateYN,ListingKey,CloseDate,ClosePrice,Latitude,Longitude,LivingArea,DaysOnMarket,ListingKeyNumeric,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,Dataset
221.0,1,0,1134739095,2025-11-03,995000.0,34.263088,-118.518437,1816.0,6,1134739095,593.0,18.0,1,2.0,1956.0,3.0,292.0,4.0,1.0,1,1.0,2.0,4.0,0,2.0,189.0,210.0,0.0,7916.0,Train
224.0,1,1,1134738518,2025-11-03,2310000.0,33.550592,-117.681186,2525.0,18,1134738518,669.0,29.0,1,3.0,1985.0,3.0,387.0,4.0,1.0,1,2.0,12.0,1.0,0,3.0,46.0,565.0,95.0,7200.0,Train
221.0,1,0,1134568329,2025-11-03,1300000.0,32.961786,-117.121775,1932.0,23,1134568329,389.0,38.0,1,4.0,1980.0,3.0,649.0,3.0,1.0,1,2.0,12.0,0.0,0,2.0,282.0,387.0,0.0,7700.0,Train
171.0,0,0,1135537330,2025-11-03,540000.0,38.08748839,-122.22292177,1149.0,6,1135537330,894.0,49.0,1,2.0,1955.0,2.0,829.0,3.0,1.0,1,1.0,2.0,0.0,0,2.0,364.0,1133.0,0.0,6534.0,Train
137.0,0,1,1136889124,2025-11-03,2285000.0,33.678749,-118.007107,3000.0,8,1136889124,50.0,29.0,1,6.0,1969.0,3.0,335.0,4.0,1.0,1,2.0,12.0,1.0,0,3.0,146.0,550.0,0.0,6695.0,Train
224.0,1,0,1136923073,2025-11-03,825000.0,34.095384,-118.441449,882.0,8,1136923073,432.0,18.0,0,0.0,1937.0,1.0,443.0,1.0,1.0,1,2.0,12.0,0.0,0,2.0,189.0,63.0,0.0,16893.0,Train
110.0,1,0,1136898446,2025-11-03,1730000.0,37.31310546,-121.95537341,1291.0,14,1136898446,275.0,44.0,1,2.0,1955.0,2.0,700.0,3.0,1.0,1,1.0,18.0,0.0,0,2.0,253.0,1288.0,0.0,8610.0,Train
131.0,1,0,1108550537,2025-11-03,370000.0,37.12482,-120.263685,1577.0,179,1108550537,894.0,19.0,0,2.0,1949.0,2.0,149.0,3.0,1.0,0,1.0,2.0,3.0,0,2.0,62.0,756.0,0.0,10454.0,Train
221.0,1,0,1136788652,2025-11-03,590000.0,35.614007,-120.677649,1500.0,20,1136788652,783.0,41.0,1,2.0,2017.0,3.0,594.0,3.0,1.0,0,2.0,12.0,0.0,0,2.0,266.0,712.0,184.0,871.0,Train
217.0,0,1,1136785106,2025-11-03,825000.0,34.113162,-117.645952,1434.0,14,1136785106,272.0,37.0,0,2.0,1955.0,2.0,824.0,3.0,1.0,1,1.0,2.0,3.0,0,2.0,365.0,289.0,0.0,8515.0,Train
131.0,1,0,1136869238,2025-11-03,799000.0,34.430673,-117.446063,2756.0,9,1136869238,752.0,37.0,1,3.0,2018.0,4.0,549.0,4.0,1.0,1,1.0,2.0,4.0,0,3.0,336.0,451.0,0.0,7260.0,Train
221.0,0,0,1136783273,2025-11-03,559990.0,33.733275,-117.220552,2191.0,15,1136783273,860.0,34.0,1,2.0,2024.0,3.0,474.0,3.0,1.0,0,1.0,2.0,2.0,1,2.0,208.0,523.0,326.0,5712.0,Train
98.0,1,1,1136778856,2025-11-03,1080000.0,33.936978,-118.115194,1896.0,15,1136778856,497.0,18.0,1,2.0,1955.0,3.0,216.0,3.0,1.0,1,1.0,2.0,3.0,0,2.0,93.0,75.0,0.0,7570.0,Train
220.0,1,0,1136770641,2025-11-03,1720000.0,33.688129,-117.793924,2100.0,8,1136770641,944.0,29.0,1,2.0,1977.0,2.0,344.0,4.0,1.0,1,1.0,2.0,4.0,0,2.0,148.0,534.0,147.0,5100.0,Train
